ID;COD_COMPONENTE;IMG;CLASSE_CALCIO
2028;10;Data_Aug_GAN/images_0/3452_1_20_2.png;0
2029;10;Data_Aug_GAN/images_0/3759_1_17_2.png;0
2030;10;Data_Aug_GAN/images_0/3760_1_43_2.png;0
2031;10;Data_Aug_GAN/images_0/3767_1_51_2.png;0
2032;10;Data_Aug_GAN/images_0/3773_1_13_2.png;0
2033;10;Data_Aug_GAN/images_0/3773_1_28_2.png;0
2034;10;Data_Aug_GAN/images_0/3773_1_36_2.png;0
2035;10;Data_Aug_GAN/images_0/3843_1_12_2.png;0
2036;10;Data_Aug_GAN/images_0/3843_1_47_2.png;0
2037;10;Data_Aug_GAN/images_0/3941_1_5_2.png;0
2038;10;Data_Aug_GAN/images_0/3976_1_15_2.png;0
2039;10;Data_Aug_GAN/images_0/3991_1_57_2.png;0
2040;10;Data_Aug_GAN/images_0/3993_1_18_2.png;0
2041;10;Data_Aug_GAN/images_0/3993_1_40_2.png;0
2042;10;Data_Aug_GAN/images_0/3994_1_22_2.png;0
2043;10;Data_Aug_GAN/images_0/3996_1_38_2.png;0
2044;10;Data_Aug_GAN/images_0/3996_1_58_2.png;0
2045;10;Data_Aug_GAN/images_0/3998_1_17_2.png;0
2046;10;Data_Aug_GAN/images_0/3999_1_12_2.png;0
2047;10;Data_Aug_GAN/images_0/3999_1_25_2.png;0
2048;10;Data_Aug_GAN/images_0/3999_1_34_2.png;0
2049;10;Data_Aug_GAN/images_0/3999_1_36_2.png;0
2050;10;Data_Aug_GAN/images_0/3999_1_3_2.png;0
2051;10;Data_Aug_GAN/images_0/3999_1_41_2.png;0
2052;10;Data_Aug_GAN/images_0/3999_1_49_2.png;0
2053;10;Data_Aug_GAN/images_0/3999_1_5_2.png;0
2054;10;Data_Aug_GAN/images_0/3999_1_62_2.png;0
2055;10;Data_Aug_GAN/images_0/3999_1_63_2.png;0
2056;10;Data_Aug_GAN/images_0/_1760_1_10.png;0
2057;10;Data_Aug_GAN/images_0/_1760_2_2.png;0
2058;10;Data_Aug_GAN/images_0/_1761_2_13.png;0
2059;10;Data_Aug_GAN/images_0/_1798_1_25.png;0
2060;10;Data_Aug_GAN/images_0/_1799_1_28.png;0
2061;10;Data_Aug_GAN/images_0/_1810_1_17.png;0
2062;10;Data_Aug_GAN/images_0/_1810_1_24.png;0
2063;10;Data_Aug_GAN/images_0/_1812_1_19.png;0
2064;10;Data_Aug_GAN/images_0/_1817_1_11.png;0
2065;10;Data_Aug_GAN/images_0/_1830_2_8.png;0
2066;10;Data_Aug_GAN/images_0/_1833_1_6.png;0
2067;10;Data_Aug_GAN/images_0/_1836_1_4.png;0
2068;10;Data_Aug_GAN/images_0/_1837_2_7.png;0
2069;10;Data_Aug_GAN/images_0/_1840_2_22.png;0
2070;10;Data_Aug_GAN/images_0/_1841_1_21.png;0
2071;10;Data_Aug_GAN/images_0/_1855_2_16.png;0
2072;10;Data_Aug_GAN/images_0/_1856_1_21.png;0
2073;10;Data_Aug_GAN/images_0/_1856_1_23.png;0
2074;10;Data_Aug_GAN/images_0/_1857_1_14.png;0
2075;10;Data_Aug_GAN/images_0/_1857_2_21.png;0
2076;10;Data_Aug_GAN/images_0/_1857_2_9.png;0
2077;10;Data_Aug_GAN/images_0/_1859_1_12.png;0
2078;10;Data_Aug_GAN/images_0/_1874_1_31.png;0
2079;10;Data_Aug_GAN/images_0/_1875_2_9.png;0
2080;10;Data_Aug_GAN/images_0/_1879_1_3.png;0
2081;10;Data_Aug_GAN/images_0/_1884_1_2.png;0
2082;10;Data_Aug_GAN/images_0/_1894_2_12.png;0
2083;10;Data_Aug_GAN/images_0/_1894_2_29.png;0
